cpg,chr,pos,t,P.Value,adj_pval,UCSC_RefGene_Name,Relation_to_Island
cg08446900,chr17,38501519,7.4776242206011,1.1939261242966747e-12,5.642339653029926e-7,RARA;RARA;RARA;RARA,Island
cg14627404,chr3,111327958,-7.468810010831612,1.2614872544735565e-12,5.961612156426401e-7,CD96;CD96,OpenSea
cg00661320,chr10,73848825,7.467062541900856,1.275323055187895e-12,6.026985460359714e-7,SPOCK2;SPOCK2,S_Shore
cg08145177,chr19,17413767,7.461919543345632,1.3169182625359503e-12,6.223545001822895e-7,ABHD8,Island
cg08097359,chr19,50064054,7.4358397419048545,1.5493521003922345e-12,7.321974636596634e-7,NOSIP,S_Shelf
cg03350366,chr11,71752919,7.392308151338922,2.0306773374824483e-12,9.596615575021303e-7,NUMA1,OpenSea
cg25611057,chr3,197121419,-7.389475246747918,2.066674872568619e-12,9.766712779533506e-7,,OpenSea
cg01444574,chr2,128617328,7.3666915281997865,2.380022134554134e-12,1.1247508603475927e-6,,S_Shore
cg25345178,chr8,72459908,7.364942333179394,2.4059305312021497e-12,1.1369922445049806e-6,,Island
cg08120263,chr14,29236013,7.364718684038057,2.409263130797599e-12,1.1385647518260677e-6,FOXG1,N_Shore
cg23495279,chr8,4849827,7.355168214610105,2.5559044397243434e-12,1.207861652411611e-6,CSMD1,Island
cg15498134,chr1,25246854,-7.339571214419049,2.8145347251015074e-12,1.33008156224957e-6,RUNX3;RUNX3,OpenSea
cg08544331,chr1,25246922,-7.3386852736058765,2.8299763392294973e-12,1.3373760685113797e-6,RUNX3;RUNX3,OpenSea
cg04521004,chr3,157821262,7.328913712467823,3.0059339663920934e-12,1.4205262382337772e-6,SHOX2;SHOX2;SHOX2,Island
cg01439566,chr11,113932189,7.315723896873924,3.260661592537407e-12,1.5409006307701798e-6,ZBTB16;ZBTB16,Island
cg02348751,chr4,183064035,7.312368515443731,3.328788033195382e-12,1.573092018423208e-6,MGC45800,Island
cg22275276,chr6,33973531,-7.308899397271607,3.400699597632268e-12,1.6070720095526784e-6,,OpenSea
cg05768620,chr11,71752971,7.302480377758809,3.5378226932808267e-12,1.6718688701637202e-6,NUMA1,OpenSea
cg09848445,chr10,43601862,-7.2797641707399405,4.068324124619721e-12,1.922563863247417e-6,RET;RET,S_Shore
cg13492227,chr17,7341436,7.273300282636374,4.233117501613884e-12,2.0004358715026697e-6,FGF11,N_Shore
cg19145858,chr7,129781681,7.241968471336218,5.129955906534995e-12,2.4242478728835227e-6,,S_Shore
cg17774672,chr7,25898541,7.233714503699086,5.395861654722684e-12,2.5499007587256797e-6,,Island
cg01738524,chr16,68702627,7.232779733367268,5.426819254727191e-12,2.564524841110155e-6,CDH3,OpenSea
cg03190219,chr7,25898688,7.213643688477687,6.100469649121314e-12,2.8828623392673645e-6,,Island
cg17277001,chr5,1244503,-7.20494748793938,6.433229611416138e-12,3.0401062848596447e-6,SLC6A18,N_Shore
cg04225775,chr5,143191771,7.199391299679332,6.655138687352809e-12,3.144965648372818e-6,HMHB1;HMHB1,OpenSea
cg06098530,chr10,76727919,7.1989584091299355,6.672741396586384e-12,3.153277347112258e-6,MYST4,OpenSea
cg18758976,chr6,158430311,7.195034649508761,6.834401559374424e-12,3.229664800897978e-6,SYNJ2,OpenSea
cg20869844,chr7,140103726,7.193519100853429,6.897870861351151e-12,3.2596509563692385e-6,RAB19,OpenSea
cg08682036,chr10,43898033,-7.189096457475741,7.086425770486798e-12,3.3487471892497004e-6,HNRNPF;HNRNPF;HNRNPF;HNRNPF,OpenSea
cg04704064,chr12,125039219,7.177209955405131,7.618736432206398e-12,3.6002872321941585e-6,,Island
cg01681367,chr16,29676071,7.155150460121272,8.71310100641776e-12,4.117428159188751e-6,SPN;SPN,Island
cg10581837,chr13,76334707,7.153521937935232,8.799772509758939e-12,4.158376498349135e-6,LMO7;LMO7,OpenSea
cg01901332,chr11,75031054,-7.129014973819246,1.0211415395883641e-11,4.825445190986398e-6,ARRB1;ARRB1,OpenSea
cg04519775,chr2,231849693,-7.127953050069904,1.0277384639723555e-11,4.856608943655285e-6,,N_Shelf
cg13193840,chr2,233285289,-7.126955840749193,1.0339715907566149e-11,4.886053431552199e-6,,Island
cg09774917,chr6,10417385,7.124904346668876,1.046911966654131e-11,4.947192967543762e-6,TFAP2A,Island
cg17444738,chr4,85417969,7.122554455242857,1.0619307232527909e-11,5.018153632731063e-6,NKX6-1,Island
cg05928873,chr1,72302970,-7.1173415941495355,1.0960093767722417e-11,5.1791813498434605e-6,NEGR1,OpenSea
cg10061906,chr8,146013430,-7.113302779431483,1.1231515655801012e-11,5.307430260117457e-6,ZNF34,S_Shore
cg16477744,chr7,157367142,-7.110699322092359,1.1409975912929595e-11,5.391749887727141e-6,PTPRN2;PTPRN2;MIR153-2;PTPRN2,N_Shore
cg03340878,chr6,27925166,-7.106890670400453,1.167609289383674e-11,5.517490992610976e-6,OR2B6,OpenSea
cg09637172,chr6,31545252,-7.104391706580334,1.1854012435827699e-11,5.6015543064882e-6,TNF,N_Shelf
cg09469566,chr13,112717244,7.097957915337121,1.2324464668691375e-11,5.823851832402097e-6,,Island
cg24603464,chr2,238395852,7.0859330422631635,1.3253584638309181e-11,6.2628886457405355e-6,MLPH;MLPH,Island
cg26413192,chr10,80076484,-7.077747102334804,1.3925215987221373e-11,6.580249413033562e-6,,OpenSea
cg04168670,chr2,124782817,7.07435582636168,1.4213182169991799e-11,6.716311315790095e-6,CNTNAP5,Island
cg04716530,chr16,30485684,-7.05894316750275,1.5597589676234507e-11,7.370485025607854e-6,ITGAL;ITGAL,Island
cg18247179,chr22,19436867,-7.047256020349924,1.6735124204167337e-11,7.907998856313029e-6,C22orf39;C22orf39,S_Shore
cg18932726,chr10,128594141,7.044471910829137,1.7017935961493334e-11,8.041621423372138e-6,DOCK1,Island
cg07640117,chr22,17440855,-7.042579127861939,1.721288872669194e-11,8.13372680024483e-6,,OpenSea
cg01047555,chr6,127835990,7.041882865634574,1.7285154305808104e-11,8.167857675049339e-6,C6orf174,Island
cg14655316,chr5,138861855,7.026075043001707,1.9008676194981407e-11,8.98226480579554e-6,TMEM173,OpenSea
cg17819085,chr1,235122803,-7.006419495773724,2.13892206504363e-11,1.0107133990833267e-5,,OpenSea
cg27164381,chr21,43373635,7.004852415259734,2.1591183958237058e-11,1.0202546929337631e-5,C2CD2,Island
cg23878206,chr19,50431425,-7.004472529133939,2.1640425283324322e-11,1.0225793439979808e-5,NUP62;ATF5;NUP62;NUP62;IL4I1;NUP62,N_Shore
cg24277715,chr18,37421510,6.999838775305796,2.2250032812525166e-11,1.051383025493533e-5,,Island
cg08696727,chr10,28034797,6.99886088676981,2.2380826461778233e-11,1.0575611927984068e-5,MKX,Island
cg22886575,chr10,124910040,6.998452012674376,2.24357379957179e-11,1.0601536839378583e-5,HMX2,Island
cg26872137,chr8,35092870,6.993295328963796,2.3139769383514694e-11,1.0934188947253432e-5,UNC5D,Island
cg00741986,chr4,2748332,-6.9899511206544815,2.3607928852834013e-11,1.1155383797043097e-5,TNIP2;TNIP2,OpenSea
cg04833898,chr16,2012373,-6.980622535000964,2.4963701820750716e-11,1.1795998166552053e-5,SNORA10;RPS2,N_Shore
cg16451661,chr3,128274597,6.97664755466513,2.5564436435725655e-11,1.2079835326791266e-5,,Island
cg15107670,chr11,32456759,6.976312790005096,2.561567407341154e-11,1.2104020775864715e-5,WT1;WT1;WT1;WIT1;WT1,Island
cg17037282,chr5,50678928,6.975465682033712,2.5745780835169748e-11,1.2165473597576915e-5,ISL1,Island
cg21926708,chr12,41582349,6.971945481672018,2.6293451270340343e-11,1.242423418116376e-5,PDZRN4,Island
cg24576425,chr2,158114404,6.969105842506346,2.6743584773138067e-11,1.2636905420587972e-5,GALNT5;GALNT5,OpenSea
cg03214420,chr19,44257589,-6.967085956501695,2.7068381890475962e-11,1.2790351810887701e-5,C19orf61,N_Shore
cg26283480,chr3,129252584,-6.964856204633066,2.7431436067643096e-11,1.2961874739246649e-5,RHO,OpenSea
cg04337534,chr11,65816809,6.964648730291372,2.746546038226575e-11,1.2977924408907448e-5,GAL3ST3,S_Shore
cg16949120,chr10,134599783,6.964591203966937,2.747490164451341e-11,1.2982358100360543e-5,NKX6-2,Island
cg10399789,chr1,92945668,-6.958838788774311,2.84353048246139e-11,1.3436136494507262e-5,GFI1;GFI1;GFI1,N_Shore
cg07883457,chr6,58147897,6.939254631724257,3.1959455973087564e-11,1.510132233912347e-5,,OpenSea
cg07632771,chr7,148611823,-6.938062795345568,3.218728729632214e-11,1.520894386953436e-5,,OpenSea
cg26656751,chr17,43910226,-6.934400795353559,3.289736420724127e-11,1.5544432253656194e-5,CRHR1;CRHR1;CRHR1;CRHR1,OpenSea
cg14171514,chr11,62308492,-6.928495941947367,3.4074946880766436e-11,1.610082130052471e-5,AHNAK;AHNAK,OpenSea
cg08814800,chr4,174421377,6.926960787097404,3.438783169227916e-11,1.6248628740750518e-5,,Island
cg25104397,chr10,104535920,6.919778911331055,3.58895591359439e-11,1.695817558732485e-5,C10orf26;C10orf26;C10orf26,OpenSea
cg21446172,chr1,223745234,-6.9148482520317245,3.695773973070711e-11,1.7462864642416686e-5,CAPN8,S_Shore
cg19084726,chr1,145075538,6.907858092229991,3.8525905681903725e-11,1.8203798641944964e-5,PDE4DIP,Island
cg06538345,chr19,49993186,-6.9074548967496225,3.861832924376314e-11,1.8247430895982788e-5,RPL13AP5;SNORD33;SNORD35A;SNORD34;RPL13A;SNORD32A,S_Shore
cg13352750,chr7,27225123,6.907298188209845,3.865431003688815e-11,1.8264393418289872e-5,HOXA11AS;HOXA11,Island
cg11344566,chr2,124782885,6.896485582162521,4.121824540661687e-11,1.9475827045853507e-5,CNTNAP5;CNTNAP5,Island
cg25948982,chr20,45179157,6.89371976260592,4.190052742319057e-11,1.9798166809567237e-5,C20orf123,OpenSea
cg24859433,chr6,30720203,-6.889856068388137,4.287227901349096e-11,2.025728045071152e-5,,OpenSea
cg25302957,chr6,17282284,6.877974348168532,4.600171852664501e-11,2.173590400727682e-5,RBM24;RBM24;RBM24,Island
cg09676630,chr12,133101224,-6.8753849923664685,4.67129757278339e-11,2.2071927744377245e-5,FBRSL1,N_Shore
cg11692852,chr2,238395947,6.874522660984123,4.695223870072354e-11,2.218493278609187e-5,MLPH;MLPH;MLPH;MLPH,Island
cg00460916,chr17,3698239,-6.872522825809978,4.7511765003262895e-11,2.2449261452276714e-5,ITGAE,OpenSea
cg10678215,chr5,143191565,6.870576225419055,4.8062696587174984e-11,2.2709528012047004e-5,HMHB1,OpenSea
cg20340302,chr20,55841149,6.869124093079804,4.847777176007756e-11,2.2905601723321365e-5,BMP7,Island
cg22499809,chr19,5692622,-6.869095789836967,4.848589685754059e-11,2.29093923216005e-5,LONP1,N_Shore
cg06092310,chr1,26097918,6.866197835850501,4.932495280326107e-11,2.330579357477684e-5,MAN1C1,Island
cg06931933,chr11,24518737,6.863039783526355,5.025558779477379e-11,2.3745463699503847e-5,LUZP2;LUZP2,Island
cg14277403,chr9,100748520,-6.855860480659227,5.2435990618999945e-11,2.4775638515543142e-5,ANP32B,S_Shore
cg05211662,chr5,128795605,6.854245698072736,5.2939087836892155e-11,2.501329549022885e-5,ADAMTS19,Island
cg00147638,chr1,25228039,-6.837287259687432,5.85179967517277e-11,2.7649226803220575e-5,RUNX3;RUNX3,N_Shore
cg08269389,chr1,181074009,6.837199231955411,5.854841380790649e-11,2.766354004009774e-5,,Island
cg23652093,chr11,75347560,-6.833253046274733,5.99280724489423e-11,2.83153550233283e-5,MAP6;MAP6,OpenSea
cg09155219,chr14,48144280,6.827710657281372,6.19199432295474e-11,2.9256430136642395e-5,MDGA2,Island
cg08491437,chr1,78442533,-6.825189479688672,6.284744155185381e-11,2.9694599116510753e-5,FUBP1,N_Shore
cg01462537,chr10,2992189,-6.824360099466493,6.315553358753719e-11,2.9840105442641098e-5,,OpenSea
cg13221899,chr13,103426862,6.8215727770399095,6.420187442452164e-11,3.033442263747011e-5,C13orf27,Island
cg01120509,chr16,698230,-6.820583003852262,6.457751598404994e-11,3.051184306220785e-5,WDR90;FAM195A,N_Shore
cg07096110,chr3,48453989,-6.810040622881817,6.871520478583976e-11,3.246676610282793e-5,PLXNB1;PLXNB1,OpenSea
cg18235937,chr1,6268858,6.810037525932377,6.871645779117033e-11,3.246728941008774e-5,RNF207,Island
cg14386870,chr16,2013110,-6.809708887024272,6.884955074051969e-11,3.253010458343148e-5,SNORA10;SNORA64;RPS2,N_Shore
cg01979157,chr1,2161013,-6.80792318213365,6.957717387753049e-11,3.2873823113655606e-5,SKI,Island
cg02856109,chr2,80531656,6.797152343064264,7.412913099955495e-11,3.502445768553872e-5,CTNNA2;LRRTM1;CTNNA2,Island
cg09183450,chr11,62308513,-6.792139623255966,7.634627983898036e-11,3.607193760576176e-5,AHNAK;AHNAK,OpenSea
cg06496272,chr7,22895283,-6.787714901637106,7.835746242362982e-11,3.7022098773529346e-5,SNORD93,S_Shore
cg21417459,chr1,203247740,6.783336977650072,8.039863104666284e-11,3.798642360240307e-5,,OpenSea
cg09473510,chr4,187476573,6.781762916399188,8.114523106167369e-11,3.8339093045864274e-5,MTNR1A,Island
cg00383220,chr11,118963880,-6.781187307572521,8.141994982236117e-11,3.846880937237027e-5,HMBS;HMBS,N_Shore
cg00295485,chr2,106755721,-6.776948720233579,8.347124702866362e-11,3.943791049737379e-5,UXS1,OpenSea
cg20445774,chr6,33400021,6.774933591853188,8.446422755636593e-11,3.990698252201133e-5,SYNGAP1,S_Shelf
cg08857994,chr2,130763641,6.773471811565647,8.51917996938772e-11,4.025065479316586e-5,,Island
cg03759236,chr15,68891950,-6.7664175227060666,8.879048580961878e-11,4.195084083047059e-5,CORO2B,OpenSea
cg18750960,chr2,177016417,6.7662295611903165,8.888838957716258e-11,4.199700853513243e-5,HOXD4,Island
cg13929328,chr10,129535898,6.762133642076033,9.104839399101058e-11,4.301745261214478e-5,FOXI2,Island
cg12873476,chr8,142402728,-6.757614553214126,9.34914739345693e-11,4.417163621544416e-5,,S_Shore
cg19774846,chr1,25292225,-6.75318166031988,9.595054787968024e-11,4.5333371554521004e-5,RUNX3,OpenSea
cg00259388,chr8,98907498,-6.747073147755014,9.944363801288387e-11,4.6983638433757176e-5,MATN2;MATN2,OpenSea
cg19165216,chr11,811661,-6.743855498346269,1.0133359261377724e-10,4.787647450067565e-5,RPLP2;SNORA52,S_Shore
cg15110243,chr11,78501744,-6.73662124206568,1.0571269875737626e-10,4.994533879300626e-5,ODZ4,OpenSea
cg19730814,chr10,79079736,-6.732673328945156,1.0818041995273445e-10,5.1111137571708825e-5,KCNMA1;KCNMA1;KCNMA1;KCNMA1,OpenSea
cg03502002,chr18,74962133,6.729785638882077,1.1002120724368232e-10,5.198072959555739e-5,GALR1;GALR1,Island
cg20219457,chr13,36705446,6.727691047909816,1.1137566173775182e-10,5.262054514461822e-5,DCLK1;DCLK1,Island
cg17607298,chr13,112727981,6.727099715556816,1.1176100164912399e-10,5.280249107814347e-5,,Island
cg11798521,chr5,131996143,-6.726363973485345,1.1224227612956962e-10,5.302976129562421e-5,IL13,S_Shelf
cg22931604,chr3,129694392,6.7261174292462105,1.1240400464364326e-10,5.310605882192176e-5,TRH,Island
cg25531857,chr20,47897451,-6.720158481564164,1.1638340839704047e-10,5.498603959763215e-5,C20orf199;C20orf199;C20orf199,S_Shelf
cg09591830,chr2,74975236,-6.708511529354131,1.2456529758331558e-10,5.885149766972536e-5,,OpenSea
cg15694715,chr11,118402280,6.707808045768321,1.250772046466976e-10,5.9093225644150864e-5,TMEM25;TMEM25;TMEM25;TMEM25;TMEM25;TMEM25,S_Shore
cg00735667,chr3,74663796,6.706844082246067,1.2578201620658306e-10,5.942609090284879e-5,,Island
cg09994756,chr4,8185163,-6.705219122276309,1.2697897016110306e-10,5.9991468410553463e-5,,OpenSea
cg23279538,chr1,52608614,6.704788283030226,1.2729820206886113e-10,6.014216286563551e-5,ZFYVE9;ZFYVE9;ZFYVE9,S_Shore
cg21963854,chr15,69366348,6.701931080575348,1.2943531215745448e-10,6.115171322878937e-5,MIR548H4,Island
cg12535280,chr11,12399498,6.700508088252087,1.305127896217214e-10,6.166063694399266e-5,PARVA,Island
cg24587080,chr6,160016373,-6.700200453480282,1.3074688454824642e-10,6.177110411104993e-5,,OpenSea
cg19614919,chr6,155493309,-6.698500207414667,1.3204815203117573e-10,6.238575328267289e-5,TIAM2,OpenSea
cg16580935,chr6,33246149,-6.694719189729423,1.3498772461111522e-10,6.377441054162294e-5,B3GALT4,S_Shore
cg10402715,chr10,44189889,-6.684836763325836,1.429780544072327e-10,6.754926691442505e-5,,S_Shelf
cg06578111,chr3,13546418,-6.674701160720274,1.5165575043330774e-10,7.164884935771364e-5,HDAC11;HDAC11,OpenSea
cg10111335,chr6,105935915,-6.67255801039413,1.5355586940147754e-10,7.254639560764225e-5,,OpenSea
cg03995361,chr3,42575730,-6.668594994675978,1.571313186865754e-10,7.423543446292306e-5,VIPR1,N_Shore
